run_seed,Condition,Amplitude Irregularity,Condition
29,DAMGO + $G_{NaP} \times 1.3$,0.11045627868338244,DAMGO + $G_{NaP} \times 1.3$
29,DAMGO + $G_{NaP} \times 1.5$,0.07442042125746912,DAMGO + $G_{NaP} \times 1.5$
30,Control,0.020703539878518366,Control
30,DAMGO,0.26357383984460586,DAMGO
30,DAMGO + $G_{NaP} \times 1.1$,0.05339539222324529,DAMGO + $G_{NaP} \times 1.1$
30,DAMGO + $G_{NaP} \times 1.3$,0.0658530384915817,DAMGO + $G_{NaP} \times 1.3$
30,DAMGO + $G_{NaP} \times 1.5$,0.08881703489025457,DAMGO + $G_{NaP} \times 1.5$
31,Control,0.02961395784476052,Control
31,DAMGO,0.2704280787922278,DAMGO
31,DAMGO + $G_{NaP} \times 1.1$,0.194619028277879,DAMGO + $G_{NaP} \times 1.1$
31,DAMGO + $G_{NaP} \times 1.3$,0.07294214778871906,DAMGO + $G_{NaP} \times 1.3$
31,DAMGO + $G_{NaP} \times 1.5$,0.10726433984185947,DAMGO + $G_{NaP} \times 1.5$
32,Control,0.026124147269717374,Control
32,DAMGO,0.13078831485134235,DAMGO
32,DAMGO + $G_{NaP} \times 1.1$,0.03837087421632281,DAMGO + $G_{NaP} \times 1.1$
32,DAMGO + $G_{NaP} \times 1.3$,0.048084967790107784,DAMGO + $G_{NaP} \times 1.3$
32,DAMGO + $G_{NaP} \times 1.5$,0.051996245698752934,DAMGO + $G_{NaP} \times 1.5$
33,Control,0.18056955100772298,Control
33,DAMGO,0.29450963575063127,DAMGO
33,DAMGO + $G_{NaP} \times 1.1$,0.21034142422748428,DAMGO + $G_{NaP} \times 1.1$
33,DAMGO + $G_{NaP} \times 1.3$,0.3297611958961922,DAMGO + $G_{NaP} \times 1.3$
33,DAMGO + $G_{NaP} \times 1.5$,0.36497084824823417,DAMGO + $G_{NaP} \times 1.5$
34,Control,0.07975756881519967,Control
34,DAMGO,0.27298313961200904,DAMGO
34,DAMGO + $G_{NaP} \times 1.1$,0.08138873127326615,DAMGO + $G_{NaP} \times 1.1$
34,DAMGO + $G_{NaP} \times 1.3$,0.09788857527824615,DAMGO + $G_{NaP} \times 1.3$
34,DAMGO + $G_{NaP} \times 1.5$,0.15915452522477155,DAMGO + $G_{NaP} \times 1.5$
35,Control,0.021897914415336443,Control
35,DAMGO,0.21064443813140615,DAMGO
35,DAMGO + $G_{NaP} \times 1.1$,0.07196235820490202,DAMGO + $G_{NaP} \times 1.1$
35,DAMGO + $G_{NaP} \times 1.3$,0.06372536070063681,DAMGO + $G_{NaP} \times 1.3$
35,DAMGO + $G_{NaP} \times 1.5$,0.12408021670377752,DAMGO + $G_{NaP} \times 1.5$
36,Control,0.024051453641736827,Control
36,DAMGO,0.39554239893532167,DAMGO
36,DAMGO + $G_{NaP} \times 1.1$,0.221211578152326,DAMGO + $G_{NaP} \times 1.1$
36,DAMGO + $G_{NaP} \times 1.3$,0.1080992724632674,DAMGO + $G_{NaP} \times 1.3$
36,DAMGO + $G_{NaP} \times 1.5$,0.10681964554411369,DAMGO + $G_{NaP} \times 1.5$
37,Control,0.0224440252908661,Control
37,DAMGO,0.3277831027934576,DAMGO
37,DAMGO + $G_{NaP} \times 1.1$,0.09190071534600737,DAMGO + $G_{NaP} \times 1.1$
37,DAMGO + $G_{NaP} \times 1.3$,0.07631633868991224,DAMGO + $G_{NaP} \times 1.3$
37,DAMGO + $G_{NaP} \times 1.5$,0.18166056170932146,DAMGO + $G_{NaP} \times 1.5$
38,Control,0.09979425034215629,Control
38,DAMGO,0.3712219260882082,DAMGO
38,DAMGO + $G_{NaP} \times 1.1$,0.1989033471701778,DAMGO + $G_{NaP} \times 1.1$
38,DAMGO + $G_{NaP} \times 1.3$,0.09148204568278497,DAMGO + $G_{NaP} \times 1.3$
38,DAMGO + $G_{NaP} \times 1.5$,0.11900200796050066,DAMGO + $G_{NaP} \times 1.5$
39,Control,0.08712133253690452,Control
39,DAMGO,0.30150058995215084,DAMGO
39,DAMGO + $G_{NaP} \times 1.1$,0.11656420408426425,DAMGO + $G_{NaP} \times 1.1$
39,DAMGO + $G_{NaP} \times 1.3$,0.12151869524928484,DAMGO + $G_{NaP} \times 1.3$
39,DAMGO + $G_{NaP} \times 1.5$,0.12977449808833713,DAMGO + $G_{NaP} \times 1.5$
40,Control,0.0428094772114264,Control
40,DAMGO,0.19210705119796054,DAMGO
40,DAMGO + $G_{NaP} \times 1.1$,0.0519815777852409,DAMGO + $G_{NaP} \times 1.1$
40,DAMGO + $G_{NaP} \times 1.3$,0.08725139149112116,DAMGO + $G_{NaP} \times 1.3$
40,DAMGO + $G_{NaP} \times 1.5$,0.14002145633820476,DAMGO + $G_{NaP} \times 1.5$
