run_seed,Condition,Burst Amp,Condition
31,DAMGO + $G_{NaP} \times 1.1$,2.696415021794732,DAMGO + $G_{NaP} \times 1.1$
31,DAMGO + $G_{NaP} \times 1.3$,3.746390936048221,DAMGO + $G_{NaP} \times 1.3$
31,DAMGO + $G_{NaP} \times 1.5$,5.049039796750415,DAMGO + $G_{NaP} \times 1.5$
32,Control,4.240627991570704,Control
32,DAMGO,3.30310969814416,DAMGO
32,DAMGO + $G_{NaP} \times 1.1$,3.237285987732085,DAMGO + $G_{NaP} \times 1.1$
32,DAMGO + $G_{NaP} \times 1.3$,4.045901788987764,DAMGO + $G_{NaP} \times 1.3$
32,DAMGO + $G_{NaP} \times 1.5$,4.792185716753043,DAMGO + $G_{NaP} \times 1.5$
33,Control,2.8751723505703084,Control
33,DAMGO,2.5416618261376787,DAMGO
33,DAMGO + $G_{NaP} \times 1.1$,2.507351281278267,DAMGO + $G_{NaP} \times 1.1$
33,DAMGO + $G_{NaP} \times 1.3$,4.097171531930467,DAMGO + $G_{NaP} \times 1.3$
33,DAMGO + $G_{NaP} \times 1.5$,5.343713301464375,DAMGO + $G_{NaP} \times 1.5$
34,Control,3.2056387404209365,Control
34,DAMGO,2.110843730180156,DAMGO
34,DAMGO + $G_{NaP} \times 1.1$,2.4958746466540345,DAMGO + $G_{NaP} \times 1.1$
34,DAMGO + $G_{NaP} \times 1.3$,3.591438607721305,DAMGO + $G_{NaP} \times 1.3$
34,DAMGO + $G_{NaP} \times 1.5$,4.498026324885406,DAMGO + $G_{NaP} \times 1.5$
35,Control,3.1896805826804746,Control
35,DAMGO,2.1898906235855042,DAMGO
35,DAMGO + $G_{NaP} \times 1.1$,2.363570653620413,DAMGO + $G_{NaP} \times 1.1$
35,DAMGO + $G_{NaP} \times 1.3$,3.359318089057666,DAMGO + $G_{NaP} \times 1.3$
35,DAMGO + $G_{NaP} \times 1.5$,4.3275163459884025,DAMGO + $G_{NaP} \times 1.5$
36,Control,3.614469097295313,Control
36,DAMGO,2.4917896118732137,DAMGO
36,DAMGO + $G_{NaP} \times 1.1$,2.515012338894122,DAMGO + $G_{NaP} \times 1.1$
36,DAMGO + $G_{NaP} \times 1.3$,3.7019398315425467,DAMGO + $G_{NaP} \times 1.3$
36,DAMGO + $G_{NaP} \times 1.5$,4.772693630942103,DAMGO + $G_{NaP} \times 1.5$
37,Control,3.575048821104046,Control
37,DAMGO,2.839821008551161,DAMGO
37,DAMGO + $G_{NaP} \times 1.1$,2.5913627923421014,DAMGO + $G_{NaP} \times 1.1$
37,DAMGO + $G_{NaP} \times 1.3$,3.498671445122412,DAMGO + $G_{NaP} \times 1.3$
