,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,Peaks,filename,Condition,run_seed,$G_{NaP}$ str
13668,2400650,120.0325,0.9387217542330968,4.6562469986321275,119.6764,120.61510000000001,1.8399499999999875,2.7787000000000006,0.3598610936178628,2.7788500000000056,46.56246998632126,seed35-gnap-05_con20_vars.pkl,Wash,35,-0.5
13669,2456227,122.81135,0.9374656606416684,4.668194620190569,122.45505,123.39255,1.8247999999999962,2.7622500000000088,0.361552506462751,2.7658500000000004,46.681946201905696,seed35-gnap-05_con20_vars.pkl,Wash,35,-0.5
13670,2511544,125.5772,0.9431743757322198,4.648035795290589,125.21730000000001,126.1605,1.8212999999999937,2.7644499999999965,0.3622335319580536,2.7606499999999983,46.48035795290592,seed35-gnap-05_con20_vars.pkl,Wash,35,-0.5
13671,2566757,128.33785,0.9546733807884157,4.653046630696828,127.9818,128.93645,1.8234500000000082,2.7781500000000108,0.35982872152855244,2.7790999999999997,46.53046630696828,seed35-gnap-05_con20_vars.pkl,Wash,35,-0.5
13672,2622339,131.11695,0.9461258703678614,4.659947249584221,130.75995,131.70605,1.8463999999999885,2.792549999999977,0.35783296357260397,2.7946000000000026,46.599472495842186,seed35-gnap-05_con20_vars.pkl,Wash,35,-0.5
13673,2678231,133.91155,0.9403013299458893,4.664108644936626,133.5525,134.49280000000002,1.8424500000000137,2.7827500000000214,0.35992585527381504,2.778349999999989,46.641086449366284,seed35-gnap-05_con20_vars.pkl,Wash,35,-0.5
13674,2733798,136.6899,0.9485115272434429,4.66404568415394,136.33525,137.28375,1.8419000000000096,2.7904499999999928,0.35859002402553086,2.7887000000000057,46.64045684153939,seed35-gnap-05_con20_vars.pkl,Wash,35,-0.5
13675,2789572,139.4786,0.8917240362216952,4.650935522285856,139.12565,140.0174,14.251150000000024,15.14285000000001,0.0656400561878881,15.2346,46.5093552228586,seed35-gnap-05_con20_vars.pkl,Wash,35,-0.5
13676,3094264,154.7132,1.1442396331563824,1.0436384298956458,154.26855,155.41275000000002,4.577499999999986,5.721749999999986,0.17337633066333802,5.767799999999994,10.436384298956458,seed35-gnap-05_con20_vars.pkl,$G_{NaP}$,35,-0.5
13677,3209620,160.481,1.1120759459118825,0.9902528026615549,159.99030000000002,161.10235,4.58065000000002,5.692750000000018,0.1740219963803418,5.746400000000023,9.902528026615546,seed35-gnap-05_con20_vars.pkl,$G_{NaP}$,35,-0.5
13678,3324548,166.22740000000002,1.1706009157978,0.9808323370248022,165.68300000000002,166.8536,4.561650000000014,5.732249999999993,0.17459777038647203,5.727450000000005,9.808323370248019,seed35-gnap-05_con20_vars.pkl,$G_{NaP}$,35,-0.5
13679,3439097,171.95485000000002,1.1165180132678942,1.0053269012275976,171.4153,172.5318,4.587950000000006,5.704499999999996,0.17582108446444975,5.687599999999975,10.053269012275983,seed35-gnap-05_con20_vars.pkl,$G_{NaP}$,35,-0.5
13680,3552849,177.64245,1.1241179920692463,0.9758241809690613,177.1198,178.2439,,,,,9.758241809690611,seed35-gnap-05_con20_vars.pkl,$G_{NaP}$,35,-0.5
13681,61216,3.0608,1.5587593271121387,1.1280443890806637,2.60055,4.1593,1.4884500000000003,3.0472,0.3377750755771732,2.96055,11.28044389080664,seed35-gnap05_con20_vars.pkl,Transient,35,0.5
13682,120427,6.02135,0.9397279516028394,4.243553420677685,5.64775,6.5875,1.7842000000000002,2.7239500000000003,0.36835125976130834,2.7148000000000003,42.435534206776865,seed35-gnap05_con20_vars.pkl,Transient,35,0.5
13683,174723,8.73615,0.9399284873565077,4.605937097287374,8.37175,9.31165,1.8377499999999998,2.7776999999999994,0.3602045962106475,2.776200000000001,46.05937097287375,seed35-gnap05_con20_vars.pkl,Transient,35,0.5
13684,230247,11.512350000000001,0.9463845363412519,4.636652548122882,11.1494,12.0958,1.8268500000000003,2.773200000000001,0.362082699688609,2.761799999999999,46.366525481228834,seed35-gnap05_con20_vars.pkl,Transient,35,0.5
13685,285483,14.27415,0.9352916723296716,4.657919842301027,13.922600000000001,14.8579,1.8322000000000003,2.7675,0.36064627813040945,2.772800000000002,46.579198423010254,seed35-gnap05_con20_vars.pkl,Transient,35,0.5
13686,340939,17.046950000000002,0.9477788944571017,4.663122115812321,16.6901,17.637900000000002,1.8156999999999996,2.763449999999999,0.36199750221723503,2.7624499999999976,46.63122115812324,seed35-gnap05_con20_vars.pkl,Transient,35,0.5
13687,396188,19.8094,0.9450606790701772,4.672438684872596,19.45355,20.39865,1.8400999999999996,2.7851500000000016,0.3590664272890485,2.785,46.724386848725956,seed35-gnap05_con20_vars.pkl,Transient,35,0.5
13688,451888,22.5944,0.9477469970172708,4.663890709711552,22.23875,23.186500000000002,1.8384500000000017,2.786200000000001,0.35891822048346295,2.7861499999999992,46.6389070971155,seed35-gnap05_con20_vars.pkl,Transient,35,0.5
13689,507611,25.38055,0.943349498478492,4.664773964954392,25.024900000000002,25.96825,1.8407499999999999,2.7840999999999987,0.3589311031747452,2.786050000000003,46.64773964954395,seed35-gnap05_con20_vars.pkl,Transient,35,0.5
13690,563332,28.166600000000003,0.9382859905329766,4.666660974150922,27.809050000000003,28.747300000000003,1.8430999999999997,2.7814000000000014,0.36038633415020915,2.774799999999999,46.66660974150926,seed35-gnap05_con20_vars.pkl,Transient,35,0.5
13691,618828,30.9414,0.9375461697940307,4.663477089553751,30.590400000000002,31.52795,1.8459000000000039,2.783450000000002,0.35937612305038424,2.782600000000002,46.63477089553751,seed35-gnap05_con20_vars.pkl,Control,35,0.5
13692,674480,33.724000000000004,0.9452600148365018,4.662315397407681,33.3739,34.31915,1.8052000000000064,2.7504500000000007,0.3620499266848905,2.762049999999995,46.62315397407683,seed35-gnap05_con20_vars.pkl,Control,35,0.5
13693,729721,36.48605,0.9334708892811788,4.658620966033737,36.124300000000005,37.0578,1.8475500000000054,2.780999999999999,0.36150676017641464,2.766200000000005,46.58620966033742,seed35-gnap05_con20_vars.pkl,Control,35,0.5
13694,785045,39.252250000000004,0.9291520476045029,4.658514468754355,38.905300000000004,39.834450000000004,1.8404999999999987,2.7696499999999986,0.36075036075036093,2.7719999999999985,46.58514468754355,seed35-gnap05_con20_vars.pkl,Control,35,0.5
13695,840485,42.02425,0.9381865024252563,4.660304281886646,41.67495,42.613150000000005,1.832499999999996,2.770699999999998,0.3601786486097101,2.7764000000000024,46.603042818866484,seed35-gnap05_con20_vars.pkl,Control,35,0.5
13696,896013,44.800650000000005,0.9381675498688594,4.665160555855813,44.44565,45.3838,1.8393500000000031,2.7775000000000034,0.35973811065544353,2.7797999999999945,46.65160555855814,seed35-gnap05_con20_vars.pkl,Control,35,0.5
13697,951609,47.58045,0.9506452247808862,4.665561878232182,47.223150000000004,48.1738,1.8462999999999994,2.7969499999999954,0.35804436169641357,2.7929500000000047,46.65561878232182,seed35-gnap05_con20_vars.pkl,Control,35,0.5
13698,1007468,50.373400000000004,0.9432381567876088,4.648709853707935,50.0201,50.963350000000005,1.8378000000000014,2.781000000000006,0.35960874568469514,2.7807999999999993,46.48709853707938,seed35-gnap05_con20_vars.pkl,Control,35,0.5
13699,1063084,53.1542,0.9370033952699393,4.656989980763022,52.80115,53.738150000000005,1.8516499999999994,2.788649999999997,0.3583394549656891,2.7906499999999994,46.569899807630236,seed35-gnap05_con20_vars.pkl,Control,35,0.5
13700,1118897,55.94485,0.9419211017044378,4.671704228847098,55.58975,56.5317,1.8399499999999946,2.7818499999999986,0.35918895134785644,2.7840500000000006,46.71704228847098,seed35-gnap05_con20_vars.pkl,Control,35,0.5
13701,1174578,58.7289,0.9409053531075013,4.671183966623055,58.3716,59.3125,7.1980000000000075,8.138900000000007,0.12042244192627741,8.304099999999998,46.711839666230574,seed35-gnap05_con20_vars.pkl,Control,35,0.5
