run_seed,Condition,Frequency,Condition
33,Control,0.5026906383236811,Control
33,DAMGO,0.35113040782373395,DAMGO
33,DAMGO + $G_{Leak} \times 0.5$,0.4182699631138023,DAMGO + $G_{Leak} \times 0.5$
33,DAMGO + $G_{Leak} \times 0.7$,0.42825073460349894,DAMGO + $G_{Leak} \times 0.7$
33,DAMGO + $G_{Leak} \times 0.9$,0.34732355790282915,DAMGO + $G_{Leak} \times 0.9$
34,Control,0.34920851725297625,Control
34,DAMGO,0.29983554633744064,DAMGO
34,DAMGO + $G_{Leak} \times 0.5$,0.4148923909217041,DAMGO + $G_{Leak} \times 0.5$
34,DAMGO + $G_{Leak} \times 0.7$,0.35455132300266645,DAMGO + $G_{Leak} \times 0.7$
34,DAMGO + $G_{Leak} \times 0.9$,0.23798901241559292,DAMGO + $G_{Leak} \times 0.9$
35,Control,0.3901133795718392,Control
35,DAMGO,0.2891269868058083,DAMGO
35,DAMGO + $G_{Leak} \times 0.5$,0.30768126615805647,DAMGO + $G_{Leak} \times 0.5$
35,DAMGO + $G_{Leak} \times 0.7$,0.29908622068036844,DAMGO + $G_{Leak} \times 0.7$
35,DAMGO + $G_{Leak} \times 0.9$,0.26600506739255203,DAMGO + $G_{Leak} \times 0.9$
36,Control,0.3853416092551486,Control
36,DAMGO,0.37595268204170196,DAMGO
36,DAMGO + $G_{Leak} \times 0.5$,0.351850905434264,DAMGO + $G_{Leak} \times 0.5$
36,DAMGO + $G_{Leak} \times 0.7$,0.33295089514664583,DAMGO + $G_{Leak} \times 0.7$
36,DAMGO + $G_{Leak} \times 0.9$,0.32938223691018087,DAMGO + $G_{Leak} \times 0.9$
37,Control,0.40021124018622406,Control
37,DAMGO,0.39863486400288656,DAMGO
37,DAMGO + $G_{Leak} \times 0.5$,0.3487334968774724,DAMGO + $G_{Leak} \times 0.5$
37,DAMGO + $G_{Leak} \times 0.7$,0.35718507942619565,DAMGO + $G_{Leak} \times 0.7$
37,DAMGO + $G_{Leak} \times 0.9$,0.3405943505585061,DAMGO + $G_{Leak} \times 0.9$
38,Control,0.38626439055881223,Control
38,DAMGO,0.32282289430329647,DAMGO
38,DAMGO + $G_{Leak} \times 0.5$,0.360349527278652,DAMGO + $G_{Leak} \times 0.5$
38,DAMGO + $G_{Leak} \times 0.7$,0.3762303348426463,DAMGO + $G_{Leak} \times 0.7$
38,DAMGO + $G_{Leak} \times 0.9$,0.35057027729606366,DAMGO + $G_{Leak} \times 0.9$
39,Control,0.4090748481078265,Control
39,DAMGO,0.3693322289105272,DAMGO
39,DAMGO + $G_{Leak} \times 0.5$,0.42391914977717304,DAMGO + $G_{Leak} \times 0.5$
39,DAMGO + $G_{Leak} \times 0.7$,0.40099052893333703,DAMGO + $G_{Leak} \times 0.7$
39,DAMGO + $G_{Leak} \times 0.9$,0.3291688893999486,DAMGO + $G_{Leak} \times 0.9$
40,Control,0.40338270579588265,Control
40,DAMGO,0.38889041150055226,DAMGO
40,DAMGO + $G_{Leak} \times 0.5$,0.342997408395849,DAMGO + $G_{Leak} \times 0.5$
40,DAMGO + $G_{Leak} \times 0.7$,0.34142623451304577,DAMGO + $G_{Leak} \times 0.7$
40,DAMGO + $G_{Leak} \times 0.9$,0.2723954489070866,DAMGO + $G_{Leak} \times 0.9$
