run_seed,Condition,Frequency Irregularity,Condition
23,DAMGO + $G_{Leak} \times 0.5$,0.14091560011216187,DAMGO + $G_{Leak} \times 0.5$
23,DAMGO + $G_{Leak} \times 0.7$,0.2360280920030349,DAMGO + $G_{Leak} \times 0.7$
23,DAMGO + $G_{Leak} \times 0.9$,0.2416847439471917,DAMGO + $G_{Leak} \times 0.9$
24,Control,0.2125002100282281,Control
24,DAMGO,0.24059883720946962,DAMGO
24,DAMGO + $G_{Leak} \times 0.5$,0.1918422616055008,DAMGO + $G_{Leak} \times 0.5$
24,DAMGO + $G_{Leak} \times 0.7$,0.06489962883762997,DAMGO + $G_{Leak} \times 0.7$
24,DAMGO + $G_{Leak} \times 0.9$,0.06665586541509311,DAMGO + $G_{Leak} \times 0.9$
25,Control,0.2121434851230488,Control
25,DAMGO,0.1868686525250731,DAMGO
25,DAMGO + $G_{Leak} \times 0.5$,0.03489983171279841,DAMGO + $G_{Leak} \times 0.5$
25,DAMGO + $G_{Leak} \times 0.7$,0.07389558697607232,DAMGO + $G_{Leak} \times 0.7$
25,DAMGO + $G_{Leak} \times 0.9$,0.042548641381389446,DAMGO + $G_{Leak} \times 0.9$
26,Control,0.19905528504269895,Control
26,DAMGO,0.16689852174247588,DAMGO
26,DAMGO + $G_{Leak} \times 0.5$,0.2574424812993387,DAMGO + $G_{Leak} \times 0.5$
26,DAMGO + $G_{Leak} \times 0.7$,0.15508014506003764,DAMGO + $G_{Leak} \times 0.7$
26,DAMGO + $G_{Leak} \times 0.9$,0.11256534114906497,DAMGO + $G_{Leak} \times 0.9$
27,Control,0.18865687025258185,Control
27,DAMGO,0.23059848829959853,DAMGO
27,DAMGO + $G_{Leak} \times 0.5$,0.20727344950040966,DAMGO + $G_{Leak} \times 0.5$
27,DAMGO + $G_{Leak} \times 0.7$,0.08265719102736209,DAMGO + $G_{Leak} \times 0.7$
27,DAMGO + $G_{Leak} \times 0.9$,0.14643110079857719,DAMGO + $G_{Leak} \times 0.9$
28,Control,0.21077207105282517,Control
28,DAMGO,0.39752106024418415,DAMGO
28,DAMGO + $G_{Leak} \times 0.5$,0.07617280228525594,DAMGO + $G_{Leak} \times 0.5$
28,DAMGO + $G_{Leak} \times 0.7$,0.04817734289141045,DAMGO + $G_{Leak} \times 0.7$
28,DAMGO + $G_{Leak} \times 0.9$,0.07093335469106077,DAMGO + $G_{Leak} \times 0.9$
29,Control,0.23169084028128306,Control
29,DAMGO,0.32131481080985513,DAMGO
29,DAMGO + $G_{Leak} \times 0.5$,0.11833090184313573,DAMGO + $G_{Leak} \times 0.5$
29,DAMGO + $G_{Leak} \times 0.7$,0.0601017813494545,DAMGO + $G_{Leak} \times 0.7$
29,DAMGO + $G_{Leak} \times 0.9$,0.17162627300166908,DAMGO + $G_{Leak} \times 0.9$
30,Control,0.18487502771291572,Control
30,DAMGO,0.12356059967877195,DAMGO
30,DAMGO + $G_{Leak} \times 0.5$,0.07972000096266675,DAMGO + $G_{Leak} \times 0.5$
30,DAMGO + $G_{Leak} \times 0.7$,0.032005096635126844,DAMGO + $G_{Leak} \times 0.7$
30,DAMGO + $G_{Leak} \times 0.9$,0.05356844884676515,DAMGO + $G_{Leak} \times 0.9$
31,Control,0.034259377051128685,Control
31,DAMGO,0.16807624955276418,DAMGO
31,DAMGO + $G_{Leak} \times 0.5$,0.07618604998047283,DAMGO + $G_{Leak} \times 0.5$
31,DAMGO + $G_{Leak} \times 0.7$,0.10904970646412813,DAMGO + $G_{Leak} \times 0.7$
31,DAMGO + $G_{Leak} \times 0.9$,0.09630303554270143,DAMGO + $G_{Leak} \times 0.9$
32,Control,0.06927678717017213,Control
32,DAMGO,0.16995873972076334,DAMGO
32,DAMGO + $G_{Leak} \times 0.5$,0.011857688860703574,DAMGO + $G_{Leak} \times 0.5$
32,DAMGO + $G_{Leak} \times 0.7$,0.029239156075039296,DAMGO + $G_{Leak} \times 0.7$
32,DAMGO + $G_{Leak} \times 0.9$,0.04675707129149914,DAMGO + $G_{Leak} \times 0.9$
33,Control,0.36805467296274824,Control
33,DAMGO,0.41290531262962477,DAMGO
33,DAMGO + $G_{Leak} \times 0.5$,0.485366232013237,DAMGO + $G_{Leak} \times 0.5$
33,DAMGO + $G_{Leak} \times 0.7$,0.8267526534473502,DAMGO + $G_{Leak} \times 0.7$
33,DAMGO + $G_{Leak} \times 0.9$,0.1766094294179382,DAMGO + $G_{Leak} \times 0.9$
34,Control,0.20242540541846438,Control
34,DAMGO,0.2360718127687326,DAMGO
34,DAMGO + $G_{Leak} \times 0.5$,0.1857633287247994,DAMGO + $G_{Leak} \times 0.5$
34,DAMGO + $G_{Leak} \times 0.7$,0.14601198524216427,DAMGO + $G_{Leak} \times 0.7$
34,DAMGO + $G_{Leak} \times 0.9$,0.22297503001676297,DAMGO + $G_{Leak} \times 0.9$
35,Control,0.1767199133762493,Control
35,DAMGO,0.09838738962694599,DAMGO
35,DAMGO + $G_{Leak} \times 0.5$,0.04914751154115,DAMGO + $G_{Leak} \times 0.5$
35,DAMGO + $G_{Leak} \times 0.7$,0.0614843331079923,DAMGO + $G_{Leak} \times 0.7$
35,DAMGO + $G_{Leak} \times 0.9$,0.04643811097131056,DAMGO + $G_{Leak} \times 0.9$
36,Control,0.20021470709455996,Control
36,DAMGO,0.18985309545129747,DAMGO
36,DAMGO + $G_{Leak} \times 0.5$,0.23157312384126935,DAMGO + $G_{Leak} \times 0.5$
36,DAMGO + $G_{Leak} \times 0.7$,0.047966459353736404,DAMGO + $G_{Leak} \times 0.7$
36,DAMGO + $G_{Leak} \times 0.9$,0.07223017868819741,DAMGO + $G_{Leak} \times 0.9$
37,Control,0.10490513784294873,Control
37,DAMGO,0.4268130030843878,DAMGO
37,DAMGO + $G_{Leak} \times 0.5$,0.11004386175919242,DAMGO + $G_{Leak} \times 0.5$
37,DAMGO + $G_{Leak} \times 0.7$,0.04507829872154214,DAMGO + $G_{Leak} \times 0.7$
37,DAMGO + $G_{Leak} \times 0.9$,0.039570136108017503,DAMGO + $G_{Leak} \times 0.9$
38,Control,0.21033210242641318,Control
38,DAMGO,0.44279480890472306,DAMGO
38,DAMGO + $G_{Leak} \times 0.5$,0.04776255331698734,DAMGO + $G_{Leak} \times 0.5$
38,DAMGO + $G_{Leak} \times 0.7$,0.08744773239350513,DAMGO + $G_{Leak} \times 0.7$
38,DAMGO + $G_{Leak} \times 0.9$,0.11684080298497372,DAMGO + $G_{Leak} \times 0.9$
39,Control,0.14732266231238575,Control
39,DAMGO,0.2589746615625098,DAMGO
39,DAMGO + $G_{Leak} \times 0.5$,0.30418655527998273,DAMGO + $G_{Leak} \times 0.5$
39,DAMGO + $G_{Leak} \times 0.7$,0.28645350609747855,DAMGO + $G_{Leak} \times 0.7$
39,DAMGO + $G_{Leak} \times 0.9$,0.2421017854639406,DAMGO + $G_{Leak} \times 0.9$
40,Control,0.18114825607151033,Control
40,DAMGO,0.4269954291522828,DAMGO
40,DAMGO + $G_{Leak} \times 0.5$,0.09132912881003778,DAMGO + $G_{Leak} \times 0.5$
40,DAMGO + $G_{Leak} \times 0.7$,0.14159329555201058,DAMGO + $G_{Leak} \times 0.7$
40,DAMGO + $G_{Leak} \times 0.9$,0.07996314117562783,DAMGO + $G_{Leak} \times 0.9$
