,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,Peaks,filename,Condition,run_seed,$G_{Leak}$ str
6328,3965426,198.2713,1.4763871327407425,2.6242393253426446,197.1809,198.65730000000002,2.0071000000000083,3.4834999999999923,0.30198707495319016,3.3114000000000203,16.654566151815793,seed19-gleak01_vars.pkl,DAMGO + $G_{Leak}$,19,0.1
6329,4031654,201.58270000000002,1.4004697041477543,2.838062547431619,200.6644,202.06485,2.2160499999999956,3.6165499999999895,0.2889505316689778,3.460800000000006,22.223742941883966,seed19-gleak01_vars.pkl,DAMGO + $G_{Leak}$,19,0.1
6330,4100870,205.04350000000002,1.362114142427058,2.371348679230241,204.28095000000002,205.64305000000002,1.9036000000000115,3.2657000000000096,0.3001966287918605,3.3311499999999796,15.333985921506358,seed19-gleak01_vars.pkl,DAMGO + $G_{Leak}$,19,0.1
6331,4167493,208.37465,1.2809560761452654,2.8035342968366734,207.54665,208.82760000000002,2.125850000000014,3.406800000000004,0.27353793971223817,3.655799999999999,24.537557907670262,seed19-gleak01_vars.pkl,DAMGO + $G_{Leak}$,19,0.1
6332,4240609,212.03045,1.5576313800599426,2.365493687090037,210.95340000000002,212.51105,2.004599999999982,3.56219999999999,0.30966463320224247,3.229299999999995,16.688121533569117,seed19-gleak01_vars.pkl,DAMGO + $G_{Leak}$,19,0.1
6333,4305195,215.25975,1.2592574823249598,3.0378052791196133,214.5156,215.77485000000001,2.125499999999988,3.384749999999997,0.26478492844187185,3.776650000000018,23.618437862035968,seed19-gleak01_vars.pkl,DAMGO + $G_{Leak}$,19,0.1
6334,4380728,219.03640000000001,1.6513836942454334,2.5065014255960616,217.90040000000002,219.55175,,,,,15.739040175573978,seed19-gleak01_vars.pkl,DAMGO + $G_{Leak}$,19,0.1
6335,66060,3.3030000000000004,1.3025958962399171,4.215102073919201,2.6254500000000003,3.9280500000000003,1.4751499999999997,2.77775,0.36413953827106554,2.7461999999999995,23.668655921612768,seed19-gleak-01_vars.pkl,Transient,19,-0.1
6336,120984,6.0492,1.2303338036324538,3.824204997281811,5.40315,6.633500000000001,1.5604000000000005,2.790700000000001,0.38317112422407834,2.609800000000001,29.74039873981601,seed19-gleak-01_vars.pkl,Transient,19,-0.1
6337,173180,8.659,1.143445728408081,4.07276504732841,8.193850000000001,9.3373,1.5557999999999996,2.6992499999999993,0.3767116837128703,2.6545500000000004,36.66550945914304,seed19-gleak-01_vars.pkl,Transient,19,-0.1
6338,226271,11.313550000000001,1.1312101027506811,4.308379661992788,10.8931,12.0243,1.5896500000000007,2.7208500000000004,0.3598934715324265,2.778599999999999,38.1451058571264,seed19-gleak-01_vars.pkl,Transient,19,-0.1
6339,281843,14.09215,1.1718438187188556,4.275091428565958,13.614,14.78585,1.5412000000000017,2.713050000000001,0.3666025112272019,2.7277500000000003,37.402768553582014,seed19-gleak-01_vars.pkl,Transient,19,-0.1
6340,336398,16.8199,1.120004967295134,4.345336789545783,16.327,17.447,1.5561000000000007,2.676099999999998,0.38024259477546685,2.6298999999999992,38.125695511184304,seed19-gleak-01_vars.pkl,Transient,19,-0.1
6341,388996,19.4498,1.1302666484776245,4.326943993097103,19.00315,20.1334,1.60595,2.736250000000002,0.36495018429984283,2.7401000000000018,38.03196333045068,seed19-gleak-01_vars.pkl,Transient,19,-0.1
