run_seed,Condition,Burst Amp,Condition
28,DAMGO + $G_{Leak} \times 0.9$,2.4100136608410425,DAMGO + $G_{Leak} \times 0.9$
29,Control,3.4615681968690577,Control
29,DAMGO,2.527847986081195,DAMGO
29,DAMGO + $G_{Leak} \times 0.5$,6.872638417300274,DAMGO + $G_{Leak} \times 0.5$
29,DAMGO + $G_{Leak} \times 0.7$,3.9422630915754695,DAMGO + $G_{Leak} \times 0.7$
29,DAMGO + $G_{Leak} \times 0.9$,2.4284521291557395,DAMGO + $G_{Leak} \times 0.9$
30,Control,3.8430330853421184,Control
30,DAMGO,3.1288703038283,DAMGO
30,DAMGO + $G_{Leak} \times 0.5$,6.142265494015986,DAMGO + $G_{Leak} \times 0.5$
30,DAMGO + $G_{Leak} \times 0.7$,4.056129583743678,DAMGO + $G_{Leak} \times 0.7$
30,DAMGO + $G_{Leak} \times 0.9$,2.9202557449236815,DAMGO + $G_{Leak} \times 0.9$
31,Control,3.932295171162301,Control
31,DAMGO,2.80578121309305,DAMGO
31,DAMGO + $G_{Leak} \times 0.5$,7.808656413287399,DAMGO + $G_{Leak} \times 0.5$
31,DAMGO + $G_{Leak} \times 0.7$,4.530425279937931,DAMGO + $G_{Leak} \times 0.7$
31,DAMGO + $G_{Leak} \times 0.9$,2.8390945192479107,DAMGO + $G_{Leak} \times 0.9$
32,Control,4.295681249357145,Control
32,DAMGO,3.239329747870671,DAMGO
32,DAMGO + $G_{Leak} \times 0.5$,6.027410897761913,DAMGO + $G_{Leak} \times 0.5$
32,DAMGO + $G_{Leak} \times 0.7$,4.290542929564529,DAMGO + $G_{Leak} \times 0.7$
32,DAMGO + $G_{Leak} \times 0.9$,3.295964591855369,DAMGO + $G_{Leak} \times 0.9$
33,Control,2.7534505958812545,Control
33,DAMGO,2.3551065415408576,DAMGO
33,DAMGO + $G_{Leak} \times 0.5$,8.028520105498316,DAMGO + $G_{Leak} \times 0.5$
33,DAMGO + $G_{Leak} \times 0.7$,4.8729007760511065,DAMGO + $G_{Leak} \times 0.7$
33,DAMGO + $G_{Leak} \times 0.9$,2.4270200336373713,DAMGO + $G_{Leak} \times 0.9$
34,Control,3.0623806780580667,Control
34,DAMGO,2.361025081406492,DAMGO
34,DAMGO + $G_{Leak} \times 0.5$,6.608727767384675,DAMGO + $G_{Leak} \times 0.5$
34,DAMGO + $G_{Leak} \times 0.7$,4.178420692177424,DAMGO + $G_{Leak} \times 0.7$
34,DAMGO + $G_{Leak} \times 0.9$,2.4788697789255614,DAMGO + $G_{Leak} \times 0.9$
35,Control,2.953817684786994,Control
35,DAMGO,2.4294111766127227,DAMGO
35,DAMGO + $G_{Leak} \times 0.5$,5.9618129088033,DAMGO + $G_{Leak} \times 0.5$
