,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,Peaks,run_seed
38,2321609,116.08045,0.985594203280448,4.545182249301483,115.8037,116.78930000000001,1.943799999999996,2.929400000000001,0.3412386964681784,2.9305000000000097,45.45182249301485,31
39,2380219,119.01095000000001,0.9892254391430645,4.5341079861568545,118.73310000000001,119.72235,1.9344499999999982,2.923649999999995,0.3416117241143713,2.9273000000000025,45.34107986156859,31
40,2438765,121.93825000000001,0.995860041565611,4.505640116896551,121.65675,122.65265000000001,1.9292999999999978,2.925150000000002,0.34161172411437296,2.9272999999999882,45.05640116896551,31
41,2497311,124.86555,0.9750749767910922,4.4869664666232865,124.5819,125.557,1.9360500000000087,2.9111000000000047,0.3436898542755004,2.9096000000000117,44.86966466623287,31
42,2555503,127.77515000000001,0.9805925241905498,4.48547576705527,127.49300000000001,128.4736,1.9203500000000133,2.900950000000009,0.3442518546568674,2.904849999999996,44.85475767055269,31
43,2613600,130.68,0.97646652816399,4.462564533435298,130.394,131.37045,1.9339999999999975,2.9104499999999973,0.3429472890016812,2.9158999999999935,44.625645334353024,31
44,2671918,133.5959,0.9839248117361451,4.460851840657469,133.30440000000002,134.28835,1.9303000000000168,2.914199999999994,0.3416233943700466,2.927199999999999,44.60851840657469,31
45,2730462,136.5231,0.991207488063164,4.4315586997814265,136.21865,137.20985000000002,1.926950000000005,2.918149999999997,0.3427122245450492,2.917900000000003,44.315586997814286,31
46,2788820,139.441,0.991130702980049,4.422548207108569,139.13675,140.1279,1.9333000000000027,2.9244500000000073,0.3431532350771229,2.9141500000000065,44.22548207108568,31
47,2847103,142.35515,0.9907906496997457,4.400722372147996,142.06125,143.05205,1.931949999999972,2.9227499999999793,0.3411804844762866,2.9310000000000116,44.007223721479974,31
48,2905723,145.28615000000002,0.9883879505961668,4.39661751310458,144.98395,145.97235,1.9166999999999916,2.9051000000000045,0.3436012850688069,2.910349999999994,43.966175131045844,31
49,2963930,148.19650000000001,0.9844196822960861,4.366786146075334,147.88905,148.8735,1.9021999999999935,2.8866000000000156,0.345942954006885,2.8906499999999937,43.667861460753386,31
50,3021743,151.08715,0.9849382664902137,4.349697675365071,150.7757,151.7606,1.894849999999991,2.879799999999989,0.34671058334055543,2.8842500000000086,43.49697675365074,31
51,3079428,153.97140000000002,0.9876763824052877,4.315601808302034,153.65545,154.64315000000002,1.9026000000000067,2.890250000000009,0.34538138739703567,2.895349999999979,43.15601808302034,31
52,3137335,156.86675,1.0002827702996089,4.300056399802422,156.54575,157.54605,1.8885499999999809,2.888849999999991,0.34551862345380274,2.894200000000012,43.000563998024205,31
53,3195219,159.76095,1.0099397419716931,4.285722813454306,159.43460000000002,160.4445,1.8994000000000142,2.9093500000000176,0.34289437138889434,2.9163499999999942,42.85722813454305,31
54,3253546,162.6773,1.0004978353249143,4.273315399181847,162.34395,163.34445,1.8994500000000016,2.89994999999999,0.34473248758963,2.900800000000004,42.733153991818476,31
55,3311562,165.5781,1.001821690722974,4.266631001561798,165.2439,166.2457,1.8958000000000084,2.8976000000000113,0.34514893176405603,2.8973000000000013,42.666310015617995,31
56,3369508,168.4754,0.9988600776325446,4.2599417643698345,168.1415,169.14035,1.897800000000018,2.896649999999994,0.3450596090474615,2.898050000000012,42.599417643698345,31
