,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,Peaks,run_seed
54,3104986,155.2493,0.981721174762724,3.9389438630784426,154.7904,155.77215,1.8881500000000244,2.869850000000014,0.34483947722335223,2.8999000000000024,39.389438630784426,1
55,3162984,158.1492,0.9724881405120716,3.9259809418036014,157.66025000000002,158.63275000000002,1.8810499999999877,2.8535499999999843,0.34941211411799555,2.8619500000000073,39.259809418036056,1
56,3220223,161.01115000000001,0.9951659387565684,3.89128538393625,160.5138,161.50900000000001,1.9026500000000226,2.897800000000018,0.34421630552639376,2.905149999999992,38.91285383936252,1
57,3278326,163.9163,0.9985247745990986,3.850261776201556,163.41160000000002,164.41015000000002,1.8893500000000074,2.887849999999986,0.34564402122254395,2.893149999999991,38.5026177620156,1
58,3336189,166.80945,1.0103325879183598,3.841432587722565,166.29945,167.3098,1.897449999999992,2.907749999999993,0.34257720833832944,2.9190499999999986,38.414325877225686,1
59,3394570,169.7285,1.0085439745117446,3.803800192917052,169.2072,170.21575,1.8954999999999984,2.9040500000000122,0.3414950653963042,2.9283000000000072,38.03800192917052,1
60,3453136,172.6568,1.0195559737263016,3.796932746445485,172.11125,173.13080000000002,1.9095999999999833,2.929149999999993,0.3427768351414813,2.917349999999999,37.96932746445488,1
61,3511483,175.57415,1.0250468382831663,3.756958263306352,175.0404,176.06545,1.9007000000000005,2.9257499999999936,0.340118701426796,2.940150000000017,37.56958263306352,1
62,3570286,178.51430000000002,1.026323587658629,3.735032082415394,177.96615,178.9925,1.9008999999999787,2.927199999999999,0.3423367909349223,2.9210999999999956,37.35032082415397,1
63,3628708,181.43540000000002,1.02674536406477,3.7176918365935236,180.89335,181.92010000000002,1.8941499999999962,2.9208500000000015,0.3409245874812492,2.9331999999999994,37.17691836593524,1
64,3687372,184.36860000000001,1.032786511915736,3.6498519424284623,183.8142,184.847,1.9054500000000019,2.9382500000000107,0.3407503322315748,2.9346999999999923,36.49851942428465,1
65,3746066,187.3033,1.0332851538646501,3.6597971390241852,186.75245,187.78575,1.9055500000000052,2.938850000000002,0.33898305084745894,2.9499999999999886,36.59797139024184,1
66,3805066,190.2533,1.043502914186893,3.5948814202471766,189.6913,190.73485000000002,1.904200000000003,2.9476999999999975,0.33308352069281333,3.0022500000000036,35.948814202471766,1
67,3865111,193.25555,1.0684408223609674,3.617726662629913,192.639,193.70745000000002,1.9036999999999864,2.972149999999999,0.34200896063476827,2.9239000000000033,36.17726662629914,1
68,3923589,196.17945,1.0509489536477252,3.593781228611128,195.61115,196.6621,1.894049999999993,2.944999999999993,0.33590299121613454,2.9770500000000197,35.93781228611131,1
69,3983130,199.15650000000002,1.0833417048865697,3.542612876017351,198.55615,199.6395,1.9048500000000104,2.988200000000006,0.3331445514208616,3.0016999999999996,35.426128760173526,1
70,4043164,202.15820000000002,1.072946721260273,3.5328383839574897,201.54435,202.6173,1.8958000000000084,2.96875,0.3333333333333333,3.0,35.328383839574904,1
71,4103164,205.15820000000002,1.090462068275013,3.499751331493325,204.51315,205.6036,1.9113999999999862,3.0018499999999904,0.3328839400143164,3.004049999999978,34.99751331493327,1
72,4163245,208.16225,1.0850233319937252,3.4401501452731402,207.51500000000001,208.60000000000002,1.885549999999995,2.970600000000019,0.3334556003868062,2.9989000000000203,34.40150145273142,1
73,4223223,211.16115000000002,1.1235506338638255,3.418049662237241,210.4856,211.60915,1.89609999999999,3.0196499999999844,0.3310600542938487,3.0206000000000017,34.180496622372424,1
74,4283635,214.18175000000002,1.124226008631289,3.3788540799804956,213.5052,214.62945000000002,1.8922000000000025,3.0164000000000044,0.3297935492381781,3.032199999999989,33.78854079980497,1
75,4344279,217.21395,1.1251457231448965,3.32588808641702,216.5216,217.64675,1.8668499999999995,2.9919999999999902,0.331367221154484,3.0177999999999945,33.258880864170195,1
76,4404635,220.23175,1.1578534753809218,3.3394377627384273,219.51365,220.6715,1.9171499999999924,3.075000000000017,0.32875811621599327,3.0417500000000075,33.394377627384266,1
77,4465470,223.2735,1.1394152406868525,3.30880130576881,222.5886,223.72805000000002,1.894900000000007,3.0343000000000018,0.3260568317057672,3.0669499999999914,33.08801305768812,1
78,4526809,226.34045,1.163126374266483,3.279050506196466,225.62290000000002,226.78605000000002,1.9115500000000054,3.074700000000007,0.32042552509732736,3.1208500000000186,32.79050506196468,1
79,4589226,229.46130000000002,1.1946298755023164,3.1883140607235916,228.69765,229.8923,1.8769000000000062,3.071550000000002,0.32848813336618465,3.044249999999977,31.88314060723591,1
80,4650111,232.50555,1.1906218612623403,3.2105503144251166,231.7692,232.9598,1.886950000000013,3.0775999999999897,0.31896909189499306,3.1351000000000226,32.10550314425116,1
81,4712813,235.64065000000002,1.2328826780542266,3.141019049208392,234.84675000000001,236.07965000000002,1.8702499999999986,3.1030999999999835,0.3244172654868698,3.082449999999995,31.41019049208393,1
82,4774462,238.72310000000002,1.2591111166255549,3.0530215397229874,237.9499,239.209,1.8479999999999848,3.1071000000000026,0.31592582061731883,3.1653000000000024,30.53021539722988,1
83,4837768,241.88840000000002,1.2821971450040117,3.0344061716957675,241.05695,242.33915000000002,1.8756999999999948,3.157900000000012,0.31243653632855867,3.200649999999996,30.34406171695769,1
84,4901781,245.08905000000001,1.2608034541746602,3.064014708183084,244.21485,245.47565,1.8559000000000196,3.1167000000000087,0.32034853921066114,3.1216000000000004,30.640147081830833,1
85,4964213,248.21065000000002,1.3091391261630692,3.011077743198719,247.33155000000002,248.6407,1.8567999999999927,3.1658999999999935,0.3102603083987477,3.223099999999988,30.110777431987188,1
86,5028675,251.43375,1.3508907947237139,2.9974325662611285,250.49745000000001,251.84835,1.8489999999999895,3.1998999999999853,0.3120173481645583,3.2049499999999966,29.97432566261128,1
87,5092774,254.6387,1.3855144831607584,2.8662022853099636,253.69735,255.08290000000002,1.8532000000000153,3.238700000000023,0.3009962977455366,3.3223000000000122,28.662022853099643,1
88,5159220,257.961,1.4118288402650505,2.940715987186426,256.93605,258.34790000000004,1.8410499999999956,3.2528499999999667,0.3116672640289225,3.2085500000000025,29.407159871864273,1
89,5223391,261.16955,1.399412297523208,2.8112430053064656,260.1889,261.5883,1.8004000000000246,3.199800000000039,0.3081426700562362,3.245249999999998,28.112430053064646,1
90,5288296,264.4148,1.4641232240062207,2.656079926268621,263.38875,264.85285,1.76460000000003,3.228749999999991,0.2986144290492132,3.3487999999999825,26.560799262686217,1
91,5355272,267.7636,1.6037070408629719,2.543842312117679,266.61745,268.22115,1.7481500000000096,3.351850000000013,0.2703725734061537,3.6985999999999994,25.438423121176804,1
92,5429244,271.4622,1.8656156892785802,2.2571865870996923,269.96930000000003,271.83495,1.7012000000000285,3.5668000000000006,0.26505513146734394,3.772800000000018,22.57186587099694,1
93,5504700,275.235,2.0732889509195465,2.0059309490890342,273.53610000000003,275.6094,1.824799999999982,3.898049999999955,0.28726551951968987,3.4811000000000263,20.05930949089035,1
94,5574322,278.71610000000004,1.6674875917294063,2.8522251385100788,277.43420000000003,279.10165,5.625949999999989,7.293450000000007,0.15206697029371846,6.576049999999952,28.52225138510078,1
95,5705843,285.29215,1.1048937285574154,3.884613824529488,284.72765000000004,285.83255,5.550299999999993,6.655200000000036,0.14432409418590364,6.928850000000011,38.84613824529488,1
96,5844420,292.221,1.3348053946446163,3.584255281156203,291.38280000000003,292.7176,5.3253500000000145,6.660149999999987,0.15623901444429603,6.400450000000035,35.84255281156207,1
97,5972429,298.62145000000004,1.1011328284725548,3.781505325743474,298.04295,299.14410000000004,5.291300000000035,6.392400000000009,0.15525298473863283,6.441099999999949,37.815053257434776,1
98,6101251,305.06255,1.1674521360398737,3.6984400547403666,304.43535,305.6028,5.02860000000004,6.196050000000014,0.15869363400487074,6.301450000000045,36.98440054740366,1
99,6227280,311.36400000000003,1.2609678630623966,3.543508523268219,310.63140000000004,311.8924,4.906000000000006,6.166949999999986,0.14922477728201983,6.701300000000003,35.4350852326822,1
100,6361306,318.06530000000004,1.7577382636175958,3.1545255492730497,316.79835,318.5561,4.994849999999985,6.752549999999985,0.158060284192392,6.32669999999996,31.545255492730504,1
101,6487840,324.392,1.3406774032571354,3.3394133542842255,323.55095,324.89160000000004,4.921399999999949,6.262099999999975,0.16099689275996987,6.211299999999995,33.39413354284225,1
102,6612066,330.6033,1.3132706831131598,3.323664773459349,329.813,331.12625,7.823350000000005,9.136600000000044,0.11120687258472557,8.992250000000013,33.236647734593504,1
103,6791911,339.59555,1.192767763525434,3.6237848732464144,338.94965,340.1424,9.804399999999987,10.997149999999976,0.09267926486807117,10.789899999999989,36.237848732464144,1
104,7007709,350.38545,1.0626958691574169,3.909984216064096,349.94675,351.00945,9.366800000000012,10.429450000000031,0.09500871704978929,10.525350000000003,39.09984216064099,1
105,7218216,360.9108,1.1773948668702505,3.6746880010134433,360.37620000000004,361.5536,11.024699999999996,12.202099999999973,0.08173640825701171,12.234450000000038,36.746880010134475,1
