,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,Peaks
29,1712417,85.62085,0.970028856361832,4.158315503610247,85.29135000000001,86.26140000000001,1.9083499999999987,2.878399999999999,0.34698126301179677,2.882000000000005,41.58315503610246
30,1770057,88.50285000000001,0.9552860100748949,4.149928397289585,88.16975000000001,89.125,1.8967499999999973,2.8520499999999913,0.34990115292430035,2.857949999999988,41.49928397289587
31,1827216,91.3608,0.9518870370716672,4.14493992682651,91.02175,91.97365,1.9045500000000004,2.856400000000008,0.34988278926559513,2.8581000000000074,41.44939926826508
32,1884378,94.2189,0.9604036454829271,4.104971856401555,93.8782,94.8386,1.8926000000000016,2.853049999999996,0.3507356680637632,2.851150000000004,41.04971856401557
33,1941401,97.07005000000001,0.9609841447901679,4.080409978217332,96.73125,97.69225,1.8971500000000106,2.858150000000009,0.34941821866592226,2.8618999999999915,40.80409978217334
34,1998639,99.93195,0.9528863805026049,4.059548822022968,99.5894,100.54230000000001,1.897750000000002,2.8506500000000017,0.34966868891724984,2.8598500000000087,40.59548822022969
35,2055836,102.79180000000001,0.9581325511391042,4.047336312859798,102.44005,103.3982,1.9099500000000091,2.8680999999999983,0.35025042905677645,2.855099999999993,40.47336312859799
36,2112938,105.6469,0.9599088679449866,4.05239144917919,105.30815000000001,106.26805,1.9097000000000008,2.8695999999999913,0.3475782485532059,2.877049999999997,40.52391449179194
37,2170479,108.52395,0.9554363314167131,4.0275670742829135,108.1777,109.13315,1.9185000000000088,2.8739500000000078,0.3480076561684349,2.873500000000007,40.27567074282918
38,2227949,111.39745,0.9632071802412858,4.004883573630465,111.05165000000001,112.01485000000001,1.9034499999999923,2.866649999999993,0.3491193464485832,2.8643500000000017,40.048835736304696
39,2285236,114.26180000000001,0.9610782657429111,3.9962820307959035,113.9183,114.8794,1.8830000000000098,2.84405000000001,0.35100035100035054,2.8490000000000038,39.96282030795903
40,2342216,117.11080000000001,0.951421005541645,3.9701453518222465,116.76235000000001,117.71375,1.8961500000000058,2.8475499999999982,0.3518896474065743,2.841799999999992,39.701453518222465
41,2399052,119.9526,0.9566189213182777,4.021472496745233,119.60995000000001,120.56655,1.8900000000000006,2.846599999999995,0.35079103378117615,2.8507000000000033,40.21472496745233
42,2456066,122.80330000000001,0.9465307470458327,3.9970761728565023,122.4565,123.40305000000001,1.8671999999999969,2.813699999999997,0.35453449620648103,2.820599999999999,39.97076172856501
43,2512478,125.6239,0.9461862757856027,3.957753133225374,125.27025,126.21640000000001,1.8902000000000072,2.836400000000012,0.3523608174770955,2.838000000000008,39.57753133225373
44,2569238,128.4619,0.9442118834080407,3.9350608267649534,128.10660000000001,129.0508,1.8848999999999876,2.8290999999999826,0.35285815102328827,2.834000000000003,39.35060826764951
45,2625918,131.29590000000002,0.9607572008776479,3.920806719421968,130.9357,131.89645000000002,1.8997499999999832,2.860500000000002,0.3490279571393688,2.865099999999984,39.208067194219694
46,2683220,134.161,0.9583851851102431,3.8848305023273397,133.79625000000001,134.75465,1.8906499999999937,2.8490500000000054,0.3511174312248731,2.8480500000000006,38.84830502327341
47,2740181,137.00905,0.9589184352896643,3.8893096800012614,136.64525,137.60415,1.8917000000000144,2.8506000000000142,0.34891835310537167,2.866000000000014,38.89309680001266
48,2797501,139.87505000000002,0.9599958569088718,3.8707117347584585,139.49585000000002,140.45585,1.8984499999999969,2.8584499999999764,0.3506618742877204,2.8517499999999814,38.707117347584585
49,2854536,142.7268,0.9608693344057305,3.8435501452553567,142.3543,143.31515000000002,1.8882999999999868,2.8491500000000087,0.3495892326516341,2.860500000000002,38.43550145255359
50,2911746,145.5873,0.9668881685469533,3.841829794970657,145.20345,146.17035,1.8771500000000003,2.84405000000001,0.3520940795380533,2.840149999999994,38.418297949706556
51,2968549,148.42745,0.9715451916917927,3.7945789877723115,148.04755,149.0191,1.868649999999974,2.8401999999999816,0.35023202871902487,2.8552500000000123,37.94578987772313
52,3025654,151.2827,0.9730822298048764,3.7907727794558355,150.88775,151.8608,1.9026999999999816,2.875799999999998,0.3477716531325531,2.8754500000000007,37.90772779455833
53,3083163,154.15815,0.974413811158808,3.741717774154637,153.76355,154.73795,1.882300000000015,2.856700000000018,0.34865072170699374,2.8682000000000016,37.41717774154638
54,3140527,157.02635,0.9961806786449859,3.7265520354589725,156.62025,157.6164,1.8651000000000124,2.8613,0.34897923573547407,2.8654999999999973,37.26552035458976
55,3197837,159.89185,0.9784708665806335,3.6639139601929145,159.48155,160.46,1.8763999999999896,2.854849999999999,0.3498338289312586,2.8584999999999923,36.639139601929145
56,3255007,162.75035,0.9883029160821345,3.678897252466868,162.33635,163.32465000000002,1.8832499999999754,2.871549999999985,0.3460926143836063,2.8894000000000233,36.78897252466866
57,3312795,165.63975000000002,0.9847957507644082,3.650543787986514,165.20795,166.19275000000002,1.8615000000000066,2.8463000000000136,0.35267770547885063,2.8354499999999803,36.50543787986517
58,3369504,168.4752,0.9927426404475933,3.6394403182296244,168.05425,169.047,1.8872499999999945,2.8799999999999955,0.34771723634340534,2.8759000000000015,36.39440318229629
59,3427022,171.3511,0.9940655401293887,3.6312354375894316,170.9342,171.9283,1.866599999999977,2.8606499999999926,0.3487723214285718,2.867199999999997,36.31235437589435
60,3484366,174.2183,0.9959456404025201,3.636325343789416,173.7949,174.79085,1.851949999999988,2.84790000000001,0.35018297060214,2.855649999999997,36.36325343789417
61,3541479,177.07395,0.9884535866934341,3.5645058485617014,176.64280000000002,177.63125,1.8460000000000036,2.834450000000004,0.3517782389981346,2.8427000000000078,35.645058485617
62,3598333,179.91665,1.0107177375150147,3.6093517149373895,179.4772,180.48795,1.8521000000000072,2.862799999999993,0.3481772918770217,2.8721000000000174,36.093517149373895
63,3655775,182.78875000000002,1.003696682523098,3.5878222837636784,182.34005000000002,183.34375,1.8506500000000017,2.854350000000011,0.34934497816594096,2.862499999999983,35.87822283763677
64,3713025,185.65125,1.0136404730254318,3.543051357229203,185.19435000000001,186.208,1.8523999999999887,2.8659999999999854,0.34707158351410045,2.8812499999999943,35.43051357229204
65,3770650,188.5325,1.029306133501185,3.515617276057114,188.06035,189.08965,1.8260500000000093,2.8553500000000156,0.34870543108708907,2.867750000000001,35.15617276057113
66,3828005,191.40025,1.0435864085637732,3.4687973352865527,190.91570000000002,191.9593,1.8457500000000095,2.8892999999999915,0.34707158351409706,2.8812500000000227,34.68797335286553
67,3885630,194.28150000000002,1.0374480552108958,3.497583057656392,193.80505000000002,194.8425,1.845249999999993,2.8827,0.34413930759171324,2.905799999999999,34.97583057656394
68,3943746,197.18730000000002,1.034713181163906,3.448016202429333,196.68775000000002,197.72245,1.838249999999988,2.8729999999999905,0.34728854468735454,2.8794499999999914,34.480162024293335
69,4001335,200.06675,1.0314673894895707,3.4659591993188634,199.56075,200.59220000000002,1.8436999999999841,2.8752000000000066,0.3466985629344586,2.8843499999999835,34.65959199318865
70,4059022,202.9511,1.062800558874174,3.417135028833485,202.43595000000002,203.49875,1.818099999999987,2.880899999999997,0.3462963604252491,2.8877000000000237,34.17135028833486
71,4116776,205.83880000000002,1.065634805938648,3.3929014434970846,205.3168,206.38245,1.8042999999999836,2.8699000000000012,0.3428884926621884,2.9163999999999817,33.92901443497087
72,4175104,208.7552,1.0783754484426464,3.323491019061329,208.1867,209.26510000000002,1.813600000000008,2.8919500000000085,0.3490949712869376,2.8645500000000084,33.234910190613284
73,4232395,211.61975,1.077922201559972,3.364353916694764,211.0787,212.1566,1.821550000000002,2.899499999999989,0.339518223640655,2.9453499999999906,33.64353916694765
